                wariant                                 ;            segment
                                                        ;
-1   0  rozwiniecie wewnetrzne                          ; -1  0   wewnatrz obiektu
-2   1  rozwiniecie podstawowe                          ; -2  1   w zadymieniu
-3   2  dzwig ratowniczy                                ; -3  2   w pionie drogami ogolnymi
-4   3  wew. hydrant                                    ; -4  3   w pionie dzwigiem ratowniczym
-5   4  wciaganie linii po elewacji                     ; -5  4   punkt hydrantu wewnetrznego
-6   5                                                  ; -6  5
-7   6                                                  ; -7  6
-8   7                                                  ; -8  7
-9   8  dzialanie zewn/wewn (wejscie z drabiny i wewn)  ; -9  8   na zewnatrz
-10  9  gaszenie z poziomu terenu                       ; -10 9   pozioma
-11  10  gaszenie z drabiny przystawnej                 ; -11 10  pionowa, drabina przystawna
-12  11  gaszenie z drabiny mechanicznej                ; -12 11  pionowa, drabina mech.
-13  12                                                 ; -13 12
-14  13                                                 ; -14 13
-15  14                                                 ; -15 14
-16  15  stanowiska z wysoka wydajnoscia                ; -16 15



Nazwa                   ; Opis                                                                                                                                                                            ; Liczba rot ; Czas wykonania ; W zadymienu ; Kierunek
Sprawianie hydrantu     ; sprawienie hydrantu podziemnego                                                                                                                                                 ; 1          ; 70             ; 2           ; 0
Sprawianie hydrantu     ; sprawienie hydrantu nadziemnego                                                                                                                                                 ; 1          ; 30             ; 2           ; 0
zasilanie               ; powiekszenie bufora wodnego, polaczenie szeregowo kolejnego samochodu pozarniczego w odleglosci do 20 m,                                                                        ; 1          ; 30             ; 2           ; 0
zasilanie               ; powiekszenie bufora wodnego, polaczenie szeregowo kolejnego samochodu pozarniczego w odleglosci do 20 m,                                                                        ; 1          ; 30             ; 2           ; 0
zasilanie instalacji    ; zasilenie instalacji wodnej ppoz. budynku (tzw. suche piony), budowa linii i podlaczenie do nasady tlocznej (75) samochodu pozarniczego z odleglosci do 20 m                    ; 1          ; 70             ; 2           ; 2
zasilanie instalacji    ; zasilenie instalacji wodnej ppoz. budynku (tzw. suche piony), budowa podwojnej linii i podlaczenie do nasad tlocznych (2x75) samochodu pozarniczego z odleglosci do 20 m        ; 1          ; 100            ; 2           ; 2
Sprawianie motopompy    ; sprawienie motopompy plywajacej typu MP8/1 na zbiorniku ppoz. z odleglosci do 20 m, budowa linii z odcinkow W75, podlaczenie z nasada zasilajaca samochodu pozarniczego         ; 1          ; 320            ; 2           ; 2
Sprawianie motopompy    ; sprawienie pompy szlamowej na zbiorniku ppoz. z odleglosci do 20 m, budowa linii z odcinkow W75, podlaczenie z nasada zasilajaca samochodu pozarniczego                         ; 1          ; 510            ; 2           ; 2
Sprawianie zbiornika    ; sprawienie zbiornika przenosnego skladanego 2,5 m3 za pojazdem pozarniczym                                                                                                      ; 1          ; 290            ; 2           ; 0
Sprawianie zbiornika    ; sprawienie zbiornika przenosnego skladanego 5 m3 typu harmonijka za pojazdem pozarniczym                                                                                        ; 1          ; 150            ; 2           ; 0
